Movie Name,Genere,Language,Actor,Actress,Rating,Comments
Radhe,Action,Hindi,Salman khan,Disha Patani,4,good
Flight,Action,Hindi,Mohit Chadda,,3,good
Mumbi Saga,Action,Hindi,"John Abraham,Imran Hashmi",,5,good
Vijay The Master,Action,Hindi,"Vijay,Vijay Sethupathi",Malavika,4,better
Chakra Ka Rakshak,Action,Hindi,Vishal,Regina Casaandra,4,better
The Power ,Action,Hindi,Vidyut Jammwal,Shruti Hasan,5,best
Khuda Hafiz,Action,Hindi,Vidyut Jammwal,Shivleeka oberoi,3,good
Bagi 3,Action,Hindi,Tiger Shroff,Shradhaa Kapoor,4,bad
Malang,Action,Hindi,Aditya Roy Kapoor,Disha Patani,4,better
Dabang 3,Action,Hindi,Salman khan," Sai Manjreker,Sonakshi Sinha",3,best
Mardani 2,Action,Hindi,,Rani Mukerji,4,good
Marjaavaan,Action,Hindi,Sidharth Malhotra,Tara Sutariya,5,good
Sahoo,Action,Hindi,Prabhas,Shradhaa Kapoor,4,good
Bharat,Action,Hindi,Salman khan,Kateriana Kaife,3,better
 Satyamev Jayte,Action,Hindi,John Abraham,Aisha Sharma,5,best
Drive,Action,Hindi,Shushant Sing Rajput, Jaqline Fernandez,4,better
War,Action,Hindi,"Tiger Shroff,Hritik Roshan",Vanni Kapoor,3,good
Raid,Action,Hindi,Ajay Devgan,Ileana D'Cruz,4,good
Badshahoo,Action,Hindi,Ajay Devgan,Ileana D'Cruz,4,good
Raees,Action,Hindi,Shahrukh Khan,Mahira Khan,3,good
Razi,Action,Hindi,Alia Bhatt,Vicky Kaushal,3,good
Wazeer ,Action,Hindi,Amitabh Bachhan, Aaditi Rao Hydri,4,better
Akira,Action,Hindi,,Sonakshi Sinha,3,better
Article 15,Action,Hindi,Aayushman Khurana,Isha  Talwar,4,best
Tanhaji,"Action,Biopic",Hindi,Ajay Devgan,Kajol Devgan,5,good
Kesari,Action,Hindi,Akshay Kumar,Prineeti Chopra,3,good
Parmanu,Action,Hindi,John  Abraham,Diena Penty,4,good
Batla House,Action,Hindi,John Abraham,Mrunal Thakur,4,best
Spider,"Action,Thriler",Hindi,Mahesh Babu,Rakul Preet Sing,5,better
Tiger Jinda Hai, Action,Hindi,Salman khan,Kateriana Kaife,3,good
Madras Cafe,Action,Hindi,John Abraham,"Rashi khanna,Nergis Fkri",3,best
Detective Byomkesh Bakshy,Biopic,Hindi,Shushant Sing Rajput,Swastika Mukharji,2,good
Dangal,"Action,Biopic",Hindi,Aameer Khan," Fatima sana saikh,Sanya Malhotra,Zaira Wasim",2,best
Bothers ,Action,Hindi,"Akshay Kumar,Sidharth Malhotra",Jacquelien Fernandez,4,best
Bahubali 1,Story,"Hindi,Tamil,Telgu",Prabhas,"Tamanna,Anushka Shetty",5,best
Bahubali 2,Story,"Hindi,Tamil,Telgu",Prabhas,"Tamanna,Anushka Shetty",3,best
Baby,Action,Hindi,Akshay kumar,"Madhurima Tuli,Tapsi Pannu",5,best
Bajiro Mastani,Story,Hindi,Ranveer Singh,Deepika  Pdukon,5,
Agent Vinod,"Action,Crime",Hindi,Saif Ali Khan,Krrena kapoor,4,good
Baghi,Action,Hindi,Tiger Shroff,Shardhaa Kapoor,4,good
Jay ho,Action,Hindi,Salman khan,"Daisy Shaha,Tabu",3,better
Singham Return,Action ,Hindi,Ajay Devgan,Kajal Agrwal,4,better
Coolie No1,Action,Hindi,Varun Dhawan,Sara Ali Khan,4,good
Roohi,Story,Hindi,"Rajkumar Rao,Varun Sharma",Janhvi Kapoor,4,good
Chhichhore,Comedy,Hindi,Shushant Sing Rajput,Shardhaa Kapoor,3,good
Anadadhund,"Crime,Drama",Hindi,Aayushman Khurana,"Tabu,Radhika Apte",3,best
Angrezi Medium,"Comedy,Drama",Hindi,Irfhan Khan,"Kareena kapoor,Radhika madan,Ananaya Pande",3,best
Sanju,Biopic,Hindi,Ranveer Kapoor,"Sonam kapoor,Manisha Koirala",4,best
Tamasha,"Comedy,Drama",Hindi,Ranveer Kapoor,Deepika  Pdukon,4,best
Paglait,"Comedy,Drama",Hindi,,"Sanyaa Malhotra,Shruti Sharma",3,good
Bhoot,Horoor,Hindi,Vicky Kaushal,Bhumi Pedneker,4,good
Bala,"Comedy,Drama",Hindi,Aayushman Khurana,"Yami Gautam,Bhumi pedneker",4,good
Ae  Dil Hai Mushkil,Drama,Hindi,Ranveer Kapoor,"Anushka Sharma,Aishwarya Rai",5,better
Stree,"Comedy,horoor",Hindi,Rajkumar Rao,Shardhaa Kapoor,4,better
Sanam Teri  Kasam,"Romance,Drama",Hindi,HarshWerdhan Rane ,Mawra Hocane,5,better
Kabeer Singh,Drama,Hindi,Shahid Kapoor,Kiara Advani,4,good
Pad Man,Story,Hindi,Akshay Kumar,Radhika Apte,4,good
Sultan,"Story,Drama",Hindi,Salman khan,Anushka Sharma,3,good
Rabata,"Story,Romance",Hindi,Shushant Sing Rajput,Kriti Sannon,4,better
Hero,"Action,Romance,Drama",Hindi,Suraj Pancholi,Aathiya Shetty,4,better
Super 30,"Story,Motivation",Hindi,Hritik Roshan,Mrunal Thakur,4,better
Piku,Critics,Hindi,"Amitabh Bachhan,Irfhan Khan",Deepika  Pdukon,5,best
Dilwale 2,"Comedy,Action,Drama",hindi,"Shahrukh Khan,Vrun Dhavan","Kajol Devgan,Kriti Sanoon",4,better
Bajrangi Baijaan,Action,Hindi,Salman khan,"Kreena Kapoor,Harshali Malhotra",4,best
Baghi2,Action,Hindi,Tiger Shroff,Disha Patani,4,best
PK,"Comedy,Drama",Hindi,Ameer Khan,Anushka Shetty,5,best
Ranzanaa,"Romance,Drama",Hindi,Dhanush ,Soonam Kapoor,5,good
Street Dancer,Drama,Hindi,Varun Dhawal,Shardhaa Kapoor,3,good
M. S. Dhoni,Biopic,Hindi,Shushant Sing Rajput,"KIara Advani,Disha patani",4,good
Aashiqui 2,"Romance,Drama",Hindi,Aaditya Roy Kapoor,Shardhaa Kapoor,4,good
Malang,"Romance,Drama,Action",Hindi,Aaditya Roy Kapoor,Disha Patani,4,good
Ye Jawaani Hai Deewani,"Romance,Drama",Hindi,Ranveer Kapoor,Deepika  Pdukon,3,good
Toilet Ek Prem  Katha,"Story,Darama",Hindi,Akshay Kumar,Bhumi Pedneker,4,good
Total Dhamal,Comedy,Hindi,Ajay Devgan,Madhuri Dixit,4,good
 Golmaal Again,Comedy,Hindi,Ajay Devgan,Kareena kapoor,5,best
Housefull 4,comedy,Hindi,Akshay Kumar,Kriti Sannon,4,best
Three Idiots,"Comedy,Drama",Hindi,Aameer Khan,Kareena kapoor,4,best
Bhool Bhuliya,"Comedy,Horoor",Hindi,Akshay Kumar,Vidyaa Balan,3,better
Hungama,Comedy,Hindi,Akshay Khanna,Rimi Sen,5,better
Entertainment,Comedy,Hindi,Akshay Kumar,Tamanna Bahtiya,4,better
Welcome,Comedy,Hindi,Akshay Kumar,Kateriana Kaife,4,better
Welcome Back,Comedy,Hindi,Jonh Abraham,Shuti Hasan,5,better
Devdas,Drama,Hindi,Shahrukh  Khan,"Aishwarya Rai,Madhuri Dixit",4,good
Pink,Drama,Hindi,Amitabh Bachhan,Tapsi Pannu,5,good
Dear Zindgi,Drama,Hindi,Shahrukh Khan,Alia Bhat,4,good
Mery Kom,Biopic,Hindi,,Priyanka Chopra,4,good
Saina,Biopic,Hindi,,Prineeti Chopra,3,good
Jodha Akbar,"History,Drama",Hindi,Hritik Roshan,Aishwarya Rai ,3,good
Queen,Drama,Hindi,,Kangna Ranaut,4,good
Lagaan,Drama,Hindi,Ameer Khan,"Gracy Sing,Rachel Shelley",4,good
Hichki,Drama,Hindi,,Rani Mukerji,5,good
English Winglish,Drama,Hindi,,Shridevi,4,good
Highway,Drama,Hindi,Randeep Hooda,Alia Bhat,5,good
Thappad,Drama,Hindi,,Tapsi Pannu,3,good
Panga,Drama,Hindi,Jassi Gill,Kangna Ranaut,4,best
Sui Dhaga,Drama,Hindi,Varun Dhawal,Anushka Sharma,5,best
Koi Mil Gaya,Drama,Hindi ,Hritik Roshan,Pritee Zinta,4,best
Student  of the Year 2,"Drama,Action",Hindi,Tiger Shroff,"Anannya Pande,Tara Sutariya",5,best
Rustam,Drama,Hindi,Akshay Kumar,ileana D'Cruz,4,better
Kabhi Khushi Kabhi Gum,Drama,Hindi,"Amitabh Bachchan,Shahrukh Khan","Jaya Bachchan,Kajol",3,good
Hum Apke Hai Kun,Drama,Hindi,Salman khan,Madhuri Dixit,4,better
Sajan,Drama,Hindi,"Salman khan,Sanjay Datt",Madhuri Dixit,3,better
Dil,Drama,Hindi,Aamir Khan,Madhuri Dixit,4,better
Judwaa 2,"Drama,Comedy",Hindi,Varun Dhavan, Jaqline Fernandez,4,better
Khiladi,"Drama,Actiom",Hindi,Akshay Kumar,Divya Bharti,5,better
Zero,Drama,Hindi,Shahrukha Khan,"Anushka Sharma,Kateriana Kaife",4,better
Chhalang,Drama,Hindi,Rajkumar Rao,Nusrat Bharucha,4,better
Barfi,Drama ,Hindi,Ranbir Kapoor,"ileana D'Cruz,Priyanka Chopra",3,better
Dangal,"Biopic,Sports",Hindi,Aamir Khan,"Fattima Sana,Jahira Wasim Khan,Sanya Malhotra",5,better
Chak De India,Sports,Hindi,Shahrukha Khan,"Vidhya Malvade,Sagrika Gatke,Shilpa Shukla",4,better
Azahar,Sports,Hindi,Imran Hasmi,"Prachi Desai,Nargis Fkri",4,better
Toofaan,Sports,Hindi,Faran Akhatar,Mrunal Thakur,4,better
Jersey,Sports,Hindi,Shahid Kapoor,Mrunal Thakur,3,better
Maidaan,Sports,Hindi,Ajay Devgan,Priyamani,3,good
Raone,"Drama,Action",Hindi,"Shahrukh Khan,Arju Ram Poul",Kareena Kapoor,4,better
Ghajni,"Action,Drama",Hindi,Aamir Khan,Asin,4,best
Veer,"Action,History",Hindi,Salman Khan,Jarin Khan,4,better
Veer Zaara,Drama,Hindi,Shahrukh Khan,Pritee Zinta,4,good
Mission Mangal,"Drama,Science",Hindi,Akshay Kumar,"Vidyaa Balan,Tapsi Pannu,Sonakshi Sinha",5,best
Half GirlFriend,"Drama,Romance",Hindi,Arjun Kapoor,Shardhaa Kapoor,4,good
Jagga jasoos,Drama,Hindi,Ranbir Kapoor,Kateriana Kaife,4,good
